"Date","Price","Open","High","Low","Change %"
"12/01/2023","4.103","4.103","4.103","4.103","-3.14%"
"11/30/2023","4.236","4.236","4.236","4.236","1.53%"
"11/29/2023","4.172","4.172","4.172","4.172","-2.09%"
"11/28/2023","4.261","4.261","4.261","4.261","-0.88%"
"11/27/2023","4.299","4.299","4.299","4.299","-2.34%"
"11/24/2023","4.402","4.402","4.402","4.402","0.18%"
"11/23/2023","4.394","4.394","4.394","4.394","1.90%"
"11/22/2023","4.312","4.312","4.312","4.312","-0.21%"
"11/21/2023","4.321","4.321","4.321","4.321","-0.87%"
"11/20/2023","4.359","4.359","4.359","4.359","0.13%"
"11/18/2023","4.353","4.353","4.353","4.353","-0.29%"
"11/17/2023","4.366","4.366","4.366","4.366","0.41%"
"11/16/2023","4.348","4.348","4.348","4.348","-2.31%"
"11/15/2023","4.451","4.451","4.451","4.451","0.91%"
"11/14/2023","4.411","4.411","4.411","4.411","-3.27%"
"11/13/2023","4.560","4.560","4.560","4.560","-0.39%"
"11/10/2023","4.578","4.578","4.578","4.578","1.44%"
"11/09/2023","4.513","4.513","4.513","4.513","0.78%"
"11/08/2023","4.478","4.478","4.478","4.478","-0.33%"
"11/07/2023","4.493","4.493","4.493","4.493","-1.99%"
"11/06/2023","4.584","4.584","4.584","4.584","3.20%"
"11/05/2023","4.442","4.442","4.442","4.442","0.00%"
"11/04/2023","4.442","4.442","4.442","4.442","-0.11%"
"11/03/2023","4.447","4.447","4.447","4.447","-2.41%"
"11/02/2023","4.557","4.557","4.557","4.557","-2.48%"
"11/01/2023","4.673","4.673","4.673","4.673","-1.12%"
"10/31/2023","4.726","4.726","4.726","4.726","-0.30%"
"10/30/2023","4.740","4.740","4.740","4.740","-1.23%"
"10/29/2023","4.799","4.799","4.799","4.799","0.00%"
"10/28/2023","4.799","4.799","4.799","4.799","-0.27%"
"10/27/2023","4.812","4.812","4.812","4.812","-0.78%"
"10/26/2023","4.850","4.850","4.850","4.850","-1.34%"
"10/25/2023","4.916","4.916","4.916","4.916","1.42%"
"10/24/2023","4.847","4.847","4.847","4.847","0.10%"
"10/23/2023","4.842","4.842","4.842","4.842","-1.68%"
"10/22/2023","4.924","4.924","4.924","4.924","0.00%"
"10/21/2023","4.924","4.924","4.924","4.924","0.03%"
"10/20/2023","4.923","4.923","4.923","4.923","-0.44%"
"10/19/2023","4.945","4.945","4.945","4.945","-0.78%"
"10/18/2023","4.984","4.984","4.984","4.984","1.88%"
"10/17/2023","4.892","4.892","4.892","4.892","2.39%"
"10/16/2023","4.778","4.778","4.778","4.778","0.14%"
"10/15/2023","4.772","4.772","4.772","4.772","0.00%"
"10/14/2023","4.772","4.772","4.772","4.772","-0.07%"
"10/13/2023","4.775","4.775","4.775","4.775","0.36%"
"10/12/2023","4.758","4.758","4.758","4.758","1.99%"
"10/11/2023","4.665","4.665","4.665","4.665","-1.37%"
"10/10/2023","4.730","4.730","4.730","4.730","-2.19%"
"10/09/2023","4.836","4.836","4.836","4.836","-1.50%"
"10/08/2023","4.910","4.910","4.910","4.910","0.00%"
"10/07/2023","4.910","4.910","4.910","4.910","-0.29%"
"10/06/2023","4.924","4.924","4.924","4.924","0.47%"
"10/05/2023","4.901","4.901","4.901","4.901","0.25%"
"10/04/2023","4.889","4.889","4.889","4.889","-0.87%"
"10/03/2023","4.932","4.932","4.932","4.932","2.49%"
"10/02/2023","4.812","4.812","4.812","4.812","0.74%"
"10/01/2023","4.777","4.777","4.777","4.777","0.00%"
"09/30/2023","4.777","4.777","4.777","4.777","-0.49%"
"09/29/2023","4.800","4.800","4.800","4.800","-1.68%"
"09/28/2023","4.882","4.882","4.882","4.882","2.01%"
"09/27/2023","4.786","4.786","4.786","4.786","1.18%"
"09/26/2023","4.730","4.730","4.730","4.730","1.68%"
"09/25/2023","4.652","4.652","4.652","4.652","1.39%"
"09/24/2023","4.588","4.588","4.588","4.588","0.00%"
"09/23/2023","4.588","4.588","4.588","4.588","-0.04%"
"09/22/2023","4.590","4.590","4.590","4.590","0.95%"
"09/21/2023","4.547","4.547","4.547","4.547","2.11%"
"09/20/2023","4.453","4.453","4.453","4.453","-1.44%"
"09/19/2023","4.518","4.518","4.518","4.518","-0.09%"
"09/18/2023","4.522","4.522","4.522","4.522","1.39%"
"09/17/2023","4.460","4.460","4.460","4.460","0.00%"
"09/16/2023","4.460","4.460","4.460","4.460","-0.16%"
"09/15/2023","4.467","4.467","4.467","4.467","2.62%"
"09/14/2023","4.353","4.353","4.353","4.353","-2.51%"
"09/13/2023","4.465","4.465","4.465","4.465","1.25%"
"09/12/2023","4.410","4.410","4.410","4.410","0.30%"
"09/11/2023","4.397","4.397","4.397","4.397","1.20%"
"09/09/2023","4.345","4.345","4.345","4.345","-0.05%"
"09/08/2023","4.347","4.347","4.347","4.347","-0.18%"
"09/07/2023","4.355","4.355","4.355","4.355","-1.25%"
"09/06/2023","4.410","4.410","4.410","4.410","1.47%"
"09/05/2023","4.346","4.346","4.346","4.346","1.28%"
"09/04/2023","4.291","4.291","4.291","4.291","1.23%"
"09/01/2023","4.239","4.239","4.239","4.239","2.79%"
